StrengthPoints,Wins_x,Wins last 40 days,ast,blk,dr,fga,fga3,fgm,fgm3,fta,ftm,losses,or,pf,points_against,points_for,stl,to,Season,TeamID,SeasonTeam,Seed,index,Wins_y,TWins,PlayIn,SeedNum,Round,TourneyPoints
58,17,4,339,106,670,1601,556,673,178,586,416,11,380,505,1820,1940,185,372,2003,1104,20031104,10,0,0,0,FALSE,10,1,1
98,25,9,494,118,774,1840,562,849,197,700,491,3,425,497,1967,2386,237,414,2003,1112,20031112,1,20031112,3,3,FALSE,1,4,8
34,18,6,451,123,676,1650,365,789,116,760,509,11,397,563,2006,2203,151,406,2003,1113,20031113,10,20031113,1,1,FALSE,10,2,2
20,19,5,402,149,677,1641,490,771,169,592,392,11,358,491,1967,2103,241,477,2003,1120,20031120,10,20031120,2,2,FALSE,10,3,4
10,20,9,362,126,654,1406,464,636,162,648,448,7,287,504,1828,1882,190,411,2003,1122,20031122,13,0,0,0,FALSE,13,1,1
9,24,8,376,54,591,1469,634,698,246,480,347,5,227,466,1767,1989,184,302,2003,1139,20031139,12,20031139,2,2,FALSE,12,3,4
19,23,8,416,78,757,1589,500,745,192,749,564,8,337,664,1974,2246,215,426,2003,1140,20031140,12,0,0,0,FALSE,12,1,1
0,23,11,453,116,675,1528,520,772,198,730,559,6,307,608,2124,2301,206,529,2003,1141,20031141,11,20031141,1,1,FALSE,11,2,2
38,21,7,464,81,707,1703,494,793,186,566,388,8,326,496,2023,2160,190,411,2003,1143,20031143,8,20031143,1,1,FALSE,8,2,2
33,17,4,344,119,655,1587,546,641,187,603,416,11,340,531,1722,1885,145,297,2003,1153,20031153,8,0,0,0,FALSE,8,1,1
62,20,7,415,206,867,1901,473,843,154,742,501,11,449,549,2172,2341,190,434,2003,1160,20031160,10,0,0,0,FALSE,10,1,1
13,17,5,465,127,704,1563,347,792,126,728,510,13,324,617,2180,2220,160,484,2003,1161,20031161,14,0,0,0,FALSE,14,1,1
43,21,8,469,232,837,1866,471,886,182,663,447,9,443,552,2142,2401,178,474,2003,1163,20031163,5,20031163,2,2,FALSE,5,3,4
30,29,9,555,147,765,1896,676,947,263,661,458,4,359,570,2123,2615,277,441,2003,1166,20031166,6,0,0,0,FALSE,6,1,1
49,24,9,441,85,672,1572,605,710,218,661,473,5,391,510,1923,2111,156,386,2003,1173,20031173,4,0,0,0,FALSE,4,1,1
60,24,10,415,154,693,1810,618,821,220,842,597,6,413,638,2112,2459,255,421,2003,1181,20031181,3,20031181,2,2,FALSE,3,3,4
1,17,8,379,142,649,1658,410,758,141,670,495,10,378,527,2092,2152,289,506,2003,1190,20031190,15,0,0,0,FALSE,15,1,1
61,24,6,509,127,752,1752,686,835,269,587,414,7,335,524,2005,2353,241,415,2003,1196,20031196,2,20031196,1,1,FALSE,2,2,2
28,23,7,488,109,785,1719,591,808,222,764,551,8,370,578,2114,2389,211,451,2003,1211,20031211,9,20031211,1,1,FALSE,9,2,2
1,25,10,447,130,705,1529,428,702,154,642,453,4,350,533,1688,2011,231,404,2003,1221,20031221,14,0,0,0,FALSE,14,1,1
