	index	StrengthPoints	Wins	Wins last 40 days	ast	blk	dr	fga	fga3	fgm	fgm3	fta	ftm	losses	or	pf	points_against	points_for	stl	to	Season	TeamID
0	20031102	3.0	12.0	2.0	364.0	50.0	471.0	1114.0	583.0	536.0	219.0	479.0	312.0	16.0	117.0	525.0	1596.0	1603.0	167.0	320.0	2003	1102
1	20031103	6.0	13.0	5.0	411.0	63.0	538.0	1508.0	434.0	733.0	147.0	698.0	514.0	14.0	264.0	536.0	2110.0	2127.0	196.0	341.0	2003	1103
2	20031104	58.0	17.0	4.0	339.0	106.0	670.0	1601.0	556.0	673.0	178.0	586.0	416.0	11.0	380.0	505.0	1820.0	1940.0	185.0	372.0	2003	1104
3	20031105	1.0	7.0	3.0	378.0	54.0	601.0	1602.0	540.0	634.0	197.0	568.0	401.0	19.0	351.0	526.0	1993.0	1866.0	242.0	485.0	2003	1105
4	20031106	1.0	13.0	4.0	327.0	88.0	668.0	1548.0	494.0	656.0	171.0	461.0	298.0	15.0	344.0	509.0	1785.0	1781.0	234.0	477.0	2003	1106
5	20031107	0.0	7.0	2.0	334.0	57.0	567.0	1609.0	621.0	673.0	222.0	379.0	278.0	21.0	231.0	445.0	2120.0	1846.0	192.0	352.0	2003	1107
6	20031108	0.0	14.0	8.0	457.0	116.0	766.0	1938.0	539.0	823.0	172.0	691.0	462.0	19.0	433.0	649.0	2413.0	2280.0	270.0	609.0	2003	1108
7	20031110	3.0	16.0	7.0	427.0	52.0	694.0	1606.0	694.0	695.0	263.0	496.0	338.0	14.0	300.0	544.0	1857.0	1991.0	192.0	395.0	2003	1110
8	20031111	2.0	16.0	4.0	396.0	120.0	658.0	1677.0	571.0	744.0	187.0	681.0	490.0	10.0	338.0	486.0	2125.0	2165.0	256.0	421.0	2003	1111
9	20031112	98.0	25.0	9.0	494.0	118.0	774.0	1840.0	562.0	849.0	197.0	700.0	491.0	3.0	425.0	497.0	1967.0	2386.0	237.0	414.0	2003	1112
10	20031113	34.0	18.0	6.0	451.0	123.0	676.0	1650.0	365.0	789.0	116.0	760.0	509.0	11.0	397.0	563.0	2006.0	2203.0	151.0	406.0	2003	1113
11	20031114	3.0	16.0	5.0	322.0	66.0	640.0	1490.0	512.0	668.0	190.0	628.0	435.0	12.0	295.0	574.0	1962.0	1961.0	185.0	447.0	2003	1114
12	20031115	1.0	4.0	3.0	285.0	77.0	589.0	1520.0	472.0	539.0	133.0	493.0	315.0	24.0	279.0	567.0	2077.0	1526.0	223.0	535.0	2003	1115
13	20031116	30.0	9.0	3.0	275.0	99.0	656.0	1556.0	548.0	611.0	170.0	548.0	334.0	19.0	407.0	586.0	1863.0	1726.0	181.0	467.0	2003	1116
14	20031117	0.0	11.0	3.0	310.0	43.0	530.0	1422.0	555.0	616.0	206.0	557.0	411.0	15.0	285.0	557.0	1815.0	1849.0	186.0	345.0	2003	1117
15	20031119	0.0	3.0		293.0	40.0	539.0	1190.0	413.0	490.0	147.0	318.0	215.0	22.0	198.0	483.0	1687.0	1342.0	139.0	434.0	2003	1119
16	20031120	20.0	19.0	5.0	402.0	149.0	677.0	1641.0	490.0	771.0	169.0	592.0	392.0	11.0	358.0	491.0	1967.0	2103.0	241.0	477.0	2003	1120
17	20031122	10.0	20.0	9.0	362.0	126.0	654.0	1406.0	464.0	636.0	162.0	648.0	448.0	7.0	287.0	504.0	1828.0	1882.0	190.0	411.0	2003	1122
18	20031123	1.0	13.0	5.0	315.0	66.0	652.0	1814.0	500.0	778.0	161.0	664.0	482.0	17.0	395.0	686.0	2281.0	2199.0	156.0	385.0	2003	1123
