Season,team,opp,result
2003,1421,1411,1
2003,1112,1436,1
2003,1113,1272,1
2003,1141,1166,1
2003,1143,1301,1
2003,1163,1140,1
2003,1181,1161,1
2003,1211,1153,1
2003,1228,1443,1
2003,1242,1429,1
2003,1266,1221,1
2003,1281,1356,1
2003,1323,1454,1
2003,1328,1354,1
2003,1390,1360,1
2003,1409,1173,1
2003,1458,1451,1
2003,1120,1386,1
2003,1139,1280,1
2003,1196,1358,1
2003,1231,1104,1
2003,1246,1237,1
2003,1257,1122,1
2003,1268,1423,1
2003,1277,1160,1
2003,1329,1335,1
2003,1338,1447,1
2003,1345,1261,1
2003,1393,1264,1
2003,1400,1421,1
2003,1428,1332,1
2003,1448,1190,1
2003,1462,1407,1
2003,1112,1211,1
2003,1163,1390,1
2003,1181,1141,1
2003,1242,1113,1
2003,1266,1281,1
2003,1323,1228,1
2003,1328,1143,1
2003,1458,1409,1
2003,1120,1448,1
2003,1139,1257,1
2003,1246,1428,1
2003,1268,1462,1
2003,1277,1196,1
2003,1338,1231,1
2003,1393,1329,1
2003,1400,1345,1
2003,1112,1323,1
2003,1242,1181,1
2003,1246,1458,1
2003,1266,1338,1
2003,1277,1268,1
2003,1328,1139,1
2003,1393,1120,1
2003,1400,1163,1
2003,1242,1112,1
2003,1266,1246,1
2003,1393,1328,1
2003,1400,1277,1
2003,1242,1266,1
2003,1393,1400,1
2003,1393,1242,1
2004,1197,1250,1
2004,1104,1356,1
2004,1163,1436,1
2004,1177,1173,1
2004,1181,1106,1
2004,1211,1434,1
2004,1264,1196,1
2004,1268,1431,1
2004,1305,1277,1
2004,1314,1102,1
2004,1371,1112,1
2004,1386,1251,1
2004,1390,1427,1
2004,1393,1140,1
2004,1400,1343,1
2004,1403,1150,1
2004,1448,1433,1
2004,1130,1428,1
2004,1153,1190,1
2004,1210,1320,1
2004,1228,1293,1
2004,1242,1227,1
2004,1246,1197,1
2004,1272,1376,1
2004,1280,1284,1
2004,1301,1418,1
2004,1329,1186,1
2004,1334,1344,1
2004,1338,1416,1
2004,1412,1449,1
2004,1435,1444,1
2004,1458,1350,1
2004,1462,1257,1
2004,1104,1390,1
2004,1163,1177,1
2004,1181,1371,1
2004,1305,1211,1
2004,1386,1403,1
2004,1393,1268,1
2004,1400,1314,1
2004,1448,1264,1
2004,1210,1130,1
2004,1228,1153,1
2004,1242,1334,1
2004,1329,1272,1
2004,1338,1458,1
2004,1412,1246,1
2004,1435,1301,1
2004,1462,1280,1
2004,1104,1393,1
2004,1163,1435,1
2004,1329,1338,1
2004,1386,1448,1
2004,1181,1228,1
2004,1210,1305,1
2004,1242,1412,1
2004,1462,1400,1
2004,1163,1104,1
2004,1329,1386,1
2004,1181,1462,1
2004,1210,1242,1
2004,1163,1181,1
2004,1210,1329,1
2004,1163,1210,1
2005,1324,1105,1
2005,1112,1429,1
2005,1130,1335,1
2005,1153,1234,1
2005,1211,1457,1
2005,1228,1192,1
2005,1246,1184,1
2005,1305,1400,1
2005,1328,1310,1
2005,1334,1338,1
2005,1403,1417,1
2005,1412,1261,1
2005,1428,1431,1
2005,1448,1151,1
2005,1449,1285,1
2005,1452,1166,1
2005,1454,1104,1
2005,1137,1242,1
2005,1163,1416,1
2005,1181,1175,1
2005,1196,1325,1
2005,1210,1203,1
2005,1235,1278,1
2005,1257,1418,1
2005,1277,1330,1
2005,1280,1390,1
2005,1301,1150,1
2005,1314,1324,1
2005,1329,1368,1
2005,1356,1388,1
2005,1436,1393,1
2005,1437,1307,1
2005,1458,1320,1
2005,1112,1412,1
2005,1228,1305,1
2005,1246,1153,1
2005,1403,1211,1
2005,1428,1328,1
2005,1449,1334,1
2005,1452,1448,1
2005,1454,1130,1
2005,1181,1280,1
2005,1257,1210,1
2005,1277,1436,1
2005,1301,1163,1
2005,1314,1235,1
2005,1329,1356,1
2005,1437,1196,1
2005,1458,1137,1
2005,1112,1329,1
2005,1228,1454,1
2005,1257,1449,1
