,Season,team,opp,result,team_seed,opp_seed,team_n_seed,opp_n_seed
0,2003,1421,1411,1,X16b,X16a,16,16
1,2003,1112,1436,1,Z01,Z16,1,16
2,2003,1113,1272,1,Z10,Z07,10,7
3,2003,1141,1166,1,Z11,Z06,11,6
4,2003,1143,1301,1,W08,W09,8,9
5,2003,1163,1140,1,X05,X12,5,12
6,2003,1181,1161,1,Z03,Z14,3,14
7,2003,1211,1153,1,Z09,Z08,9,8
8,2003,1228,1443,1,Z04,Z13,4,13
9,2003,1242,1429,1,Z02,Z15,2,15
10,2003,1266,1221,1,Y03,Y14,3,14
11,2003,1281,1356,1,Y06,Y11,6,11
12,2003,1323,1454,1,Z05,Z12,5,12
13,2003,1328,1354,1,W01,W16,1,16
14,2003,1390,1360,1,X04,X13,4,13
15,2003,1409,1173,1,Y13,Y04,13,4
16,2003,1458,1451,1,Y05,Y12,5,12
17,2003,1120,1386,1,W10,W07,10,7
18,2003,1139,1280,1,W12,W05,12,5
19,2003,1196,1358,1,X02,X15,2,15
20,2003,1231,1104,1,Y07,Y10,7,10
21,2003,1246,1237,1,Y01,Y16,1,16
22,2003,1257,1122,1,W04,W13,4,13
23,2003,1268,1423,1,X06,X11,6,11
24,2003,1277,1160,1,X07,X10,7,10
25,2003,1329,1335,1,W06,W11,6,11
26,2003,1338,1447,1,Y02,Y15,2,15
27,2003,1345,1261,1,X09,X08,9,8
28,2003,1393,1264,1,W03,W14,3,14
29,2003,1400,1421,1,X01,X16b,1,16
30,2003,1428,1332,1,Y09,Y08,9,8
31,2003,1448,1190,1,W02,W15,2,15
32,2003,1462,1407,1,X03,X14,3,14
33,2003,1112,1211,1,Z01,Z09,1,9
34,2003,1163,1390,1,X05,X04,5,4
35,2003,1181,1141,1,Z03,Z11,3,11
36,2003,1242,1113,1,Z02,Z10,2,10
37,2003,1266,1281,1,Y03,Y06,3,6
38,2003,1323,1228,1,Z05,Z04,5,4
39,2003,1328,1143,1,W01,W08,1,8
40,2003,1458,1409,1,Y05,Y13,5,13
41,2003,1120,1448,1,W10,W02,10,2
42,2003,1139,1257,1,W12,W04,12,4
43,2003,1246,1428,1,Y01,Y09,1,9
44,2003,1268,1462,1,X06,X03,6,3
45,2003,1277,1196,1,X07,X02,7,2
