Season,Team,ELO
1985,1228,1795
1985,1106,1430
1985,1112,1618
1985,1165,1446
1985,1192,1586
1985,1218,1469
1985,1242,1723
1985,1260,1852
1985,1305,1671
1985,1307,1579
1985,1344,1432
1985,1374,1626
1985,1412,1708
1985,1417,1655
1985,1116,1667
1985,1120,1751
1985,1135,1335
1985,1143,1448
1985,1153,1535
1985,1171,1246
1985,1173,1640
1985,1177,1626
1985,1193,1366
1985,1196,1579
1985,1206,1584
1985,1210,1875
1985,1211,1393
1985,1234,1595
1985,1243,1515
1985,1257,1548
1985,1277,1647
1985,1278,1479
1985,1286,1428
1985,1301,1807
1985,1325,1675
1985,1326,1716
1985,1328,1882
1985,1339,1420
1985,1365,1646
1985,1375,1499
1985,1397,1570
1985,1403,1759
1985,1423,1330
1985,1429,1517
1985,1437,1904
1985,1438,1565
1985,1439,1573
1985,1443,1483
1985,1455,1657
1985,1241,1484
1985,1268,1731
1985,1314,1811
1985,1323,1754
1985,1458,1556
1985,1104,1742
1985,1152,1511
1985,1160,1445
1985,1181,1742
1985,1186,1407
1985,1247,1476
1985,1249,1668
1985,1276,1884
1985,1338,1611
1985,1368,1565
1985,1376,1456
1985,1378,1556
1985,1391,1388
1985,1396,1746
1985,1398,1261
1985,1399,1575
1985,1428,1542
1985,1448,1554
1985,1464,1561
1985,1124,1427
1985,1130,1669
1985,1200,1566
1985,1204,1633
1985,1233,1709
1985,1246,1682
1985,1280,1474
1985,1308,1252
1985,1337,1700
1985,1348,1252
1985,1373,1616
1985,1379,1306
1985,1409,1657
1985,1444,1369
1985,1451,1499
1985,1139,1637
1985,1154,1551
1985,1229,1662
1985,1259,1472
1985,1261,1657
1985,1272,1871
1985,1273,1621
1985,1318,1697
1985,1330,1658
1985,1360,1490
1985,1388,1524
1985,1393,1731
1985,1419,1488
1985,1447,1309
1985,1161,1591
1985,1298,1715
1985,1332,1532
1985,1347,1426
1985,1353,1508
1985,1359,1490
1985,1361,1666
1985,1386,1640
1985,1400,1543
1985,1433,1799
1985,1102,1344
1985,1111,1431
1985,1119,1552
1985,1149,1438
1985,1151,1611
1985,1155,1579
1985,1185,1481
1985,1201,1647
1985,1212,1231
1985,1267,1619
1985,1292,1570
1985,1319,1486
1985,1320,1363
1985,1371,1351
1985,1382,1434
1985,1385,1922
1985,1390,1352
1985,1402,1234
1985,1425,1604
1985,1435,1430
1985,1441,1396
1985,1449,1655
1985,1103,1402
1985,1122,1284
1985,1123,1496
1985,1129,1490
1985,1140,1440
1985,1141,1326
1985,1156,1591
1985,1174,1371
1985,1183,1594
1985,1202,1293
1985,1203,1452
1985,1222,1496
1985,1227,1428
1985,1231,1554
1985,1235,1597
1985,1238,1399
1985,1239,1531
1985,1248,1445
1985,1256,1843
1985,1258,1380
1985,1264,1323
1985,1266,1650
1985,1269,1444
1985,1285,1582
1985,1290,1409
1985,1310,1482
1985,1329,1405
1985,1333,1608
1985,1345,1690
1985,1349,1400
1985,1352,1231
1985,1380,1566
1985,1405,1523
1985,1408,1518
1985,1410,1329
1985,1418,1470
1985,1424,1803
1985,1456,1558
1985,1462,1531
1985,1168,1615
1985,1179,1434
1985,1223,1587
1985,1281,1599
1985,1304,1475
1985,1356,1510
1985,1426,1358
1985,1431,1659
1985,1114,1556
1985,1132,1428
1985,1163,1567
1985,1180,1335
1985,1217,1392
1985,1225,1254
1985,1296,1427
1985,1389,1474
1985,1395,1589
1985,1133,1609
1985,1178,1599
1985,1199,1527
1985,1216,1326
1985,1232,1477
1985,1245,1527
1985,1250,1448
1985,1265,1525
1985,1275,1616
1985,1293,1456
1985,1336,1275
1985,1384,1358
1985,1401,1642
1985,1416,1357
1985,1427,1489
1985,1452,1684
1985,1134,1412
1985,1322,1121
1985,1440,1444
1985,1450,1441
1985,1461,1427
1985,1113,1454
1985,1190,1373
1985,1226,1473
1985,1254,1399
1985,1334,1307
1985,1110,1350
1985,1137,1537
1985,1172,1337
1985,1191,1426
1985,1207,2001
1985,1221,1427
1985,1224,1548
1985,1270,1619
1985,1279,1438
1985,1299,1566
1985,1309,1455
1985,1311,1562
1985,1351,1399
1985,1387,1439
1985,1414,1431
1985,1463,1459
1985,1284,1322
1985,1108,1658
1985,1287,1231
